Gender,Group number,"How clear were the objectives and goals of the offline project management activity?
วัตถุประสงค์และเป้าหมายของกิจกรรมการจัดการโครงการออฟไลน์ชัดเจนเพียงใด","How relevant and applicable was the content discussed in the activity to your current or future project management work? 
เนื้อหาที่หารือในกิจกรรมมีความเกี่ยวข้องและสามารถนำไปใช้กับงานการจัดการโครงการปัจจุบันหรือในอนาคตของคุณมากเพียงใด","How engaging were the activities, discussions, and exercises during the session?
กิจกรรม การอภิปราย และการฝึกหัดในระหว่างเซสชันมีส่วนร่วมมากเพียงใด","How well did the group collaborate and communicate during the offline activity?
กลุ่มทำงานร่วมกันและสื่อสารกันได้ดีเพียงใดในระหว่างกิจกรรมออฟไลน์","How much did you learn from this offline activity that you can apply to your role as a project manager?
คุณได้เรียนรู้อะไรจากกิจกรรมออฟไลน์นี้บ้าง ซึ่งคุณสามารถนำไปปรับใช้กับบทบาทของคุณในฐานะผู้จัดการโครงการได้","How well did the offline activity adhere to the planned schedule, balancing discussions and exercises?
กิจกรรมออฟไลน์ยึดมั่นตามกำหนดการที่วางแผนไว้โดยสมดุลระหว่างการสนทนาและการออกกำลังกายได้ดีเพียงใด","How valuable were the opportunities for networking and interacting with other participants?
โอกาสในการสร้างเครือข่ายและการโต้ตอบกับผู้เข้าร่วมคนอื่นๆ มีค่าเพียงใด?",How confident are you in being able to apply the lessons learned from lectures and workshop to your current or future projects? คุณมีความมั่นใจเพียงใดในการนำบทเรียนที่เรียนรู้จากการบรรยายและการฝึกอบรมไปใช้กับโครงการปัจจุบันหรือในอนาคตของคุณได้?,"Overall, how satisfied were you with the offline project management activity?
โดยรวมแล้วคุณพึงพอใจกับกิจกรรมการจัดการโครงการออฟไลน์มากเพียงใด",Content,Collaboration,Overall,Correlation
Male,2,5,5,5,5,5,5,5,5,5,5,5,5,
Male,35,5,5,4,5,5,5,5,5,5,4.666666667,5,5,
Male,24,3,3,3,3,3,3,3,3,3,3,3,3,
Male,41,5,5,5,5,5,5,5,5,5,5,5,5,
Male,25,4,4,4,4,4,4,4,4,4,4,4,4,
Male,32,3,4,4,4,4,4,4,4,4,3.666666667,4,4,
Male,13,5,5,5,5,5,5,5,5,5,5,5,5,
Male,23,4,4,4,4,4,4,4,4,4,4,4,4,
Female,25,4,4,4,5,4,4,4,5,5,4,4.25,5,
Male,2,5,5,4,5,4,5,5,4,4,4.666666667,4.75,4,
Female,36,4,4,4,3,4,4,3,4,4,4,3.5,4,
Male,30,3,4,4,3,4,3,4,3,3,3.666666667,3.5,3,
Male,1,5,5,4,4,4,4,4,4,5,4.666666667,4,4.5,
Male,13,4,3,3,3,3,3,3,5,5,3.333333333,3,5,
Male,35,5,5,5,5,5,5,5,5,5,5,5,5,
Male,24,4,5,5,3,5,3,2,5,4,4.666666667,3.25,4.5,
Male,17,4,5,4,4,5,5,5,4,5,4.333333333,4.75,4.5,
Male,13,4,4,4,5,4,4,3,3,4,4,4,3.5,
Male,18,4,4,4,4,4,4,4,4,4,4,4,4,
Male,13,3,3,3,3,3,3,3,3,3,3,3,3,
Male,18,4,4,4,4,4,4,4,4,4,4,4,4,
Male,19,4,4,4,4,4,4,4,4,4,4,4,4,
Male,24,4,3,4,4,4,4,4,4,4,3.666666667,4,4,
Male,23,5,5,5,5,5,5,5,5,5,5,5,5,
Male,17,5,5,5,5,5,5,5,5,5,5,5,5,
Male,19,4,4,4,4,4,4,4,4,4,4,4,4,
Female,8,4,4,4,3,4,4,4,4,4,4,3.75,4,
Male,23,5,4,4,3,4,3,4,4,4,4.333333333,3.5,4,
Male,38,4,4,4,4,4,4,4,4,4,4,4,4,
Male,23,4,5,5,5,5,4,4,4,4,4.666666667,4.5,4,
Male,18,4,4,3,4,3,4,3,4,4,3.666666667,3.5,4,
Male,38,3,3,3,3,3,3,3,3,3,3,3,3,
Male,19,3,3,4,4,4,4,4,4,4,3.333333333,4,4,
Male,11,3,4,5,3,4,4,5,5,4,4,4,4.5,
Male,16,5,5,5,5,5,5,5,5,5,5,5,5,
Female,31,4,5,4,5,5,4,4,5,5,4.333333333,4.5,5,
Male,18,4,4,4,4,4,4,4,4,4,4,4,4,
Male,18,3,3,3,3,3,4,3,3,3,3,3.25,3,
Male,23,4,4,4,4,4,4,4,4,4,4,4,4,
Male,19,4,5,4,5,4,4,5,3,4,4.333333333,4.5,3.5,
Female,31,5,4,5,5,5,4,5,4,5,4.666666667,4.75,4.5,
Male,31,4,4,4,4,4,4,4,5,5,4,4,5,
Female,6,3,2,2,4,3,4,4,3,4,2.333333333,3.75,3.5,
Female,37,4,5,4,4,5,4,4,4,5,4.333333333,4.25,4.5,
Female,22,5,5,5,5,5,4,5,4,5,5,4.75,4.5,
Male,22,4,3,3,3,4,5,4,3,5,3.333333333,4,4,
Male,22,4,5,4,5,4,4,5,5,5,4.333333333,4.5,5,
Female,20,4,5,4,5,5,4,5,5,4,4.333333333,4.75,4.5,
Male,35,4,5,4,4,5,4,5,4,5,4.333333333,4.5,4.5,
Male,21,4,4,3,4,4,3,5,4,4,3.666666667,4,4,
Male,21,4,4,5,5,3,3,4,4,4,4.333333333,3.75,4,
Male,21,4,5,5,4,5,5,5,5,5,4.666666667,4.75,5,
Male,39,5,5,5,5,5,5,5,5,5,5,5,5,
Female,20,5,5,5,5,5,5,5,5,5,5,5,5,
Male,14,5,5,4,5,5,5,5,5,5,4.666666667,5,5,
Male,28,5,5,5,5,5,5,5,5,5,5,5,5,
Male,28,5,5,5,5,5,5,5,5,5,5,5,5,
Female,8,3,3,3,3,3,3,3,3,3,3,3,3,
Female,8,4,4,4,4,4,4,4,4,4,4,4,4,
Female,39,4,4,4,4,4,4,4,4,4,4,4,4,
Male,40,5,5,5,5,5,5,5,5,5,5,5,5,
Male,32,4,4,3,5,4,4,4,3,4,3.666666667,4.25,3.5,
Female,32,5,5,4,5,4,5,5,4,5,4.666666667,4.75,4.5,
Female,29,5,4,4,5,4,4,4,4,4,4.333333333,4.25,4,
Male,21,5,5,5,5,5,5,5,5,5,5,5,5,
Female,3,3,3,5,5,4,5,5,4,3,3.666666667,4.75,3.5,
Male,15,5,4,4,3,4,4,4,4,4,4.333333333,3.75,4,
Male,37,4,4,4,4,4,4,5,4,4,4,4.25,4,
Male,39,4,4,5,4,4,5,4,4,4,4.333333333,4.25,4,
Male,9,4,4,5,5,4,3,4,4,4,4.333333333,4,4,
Male,9,4,5,4,5,5,5,4,5,5,4.333333333,4.75,5,
Male,5,3,3,3,3,3,3,3,3,3,3,3,3,
Male,9,4,5,4,5,4,3,5,4,4,4.333333333,4.25,4,
Male,4,4,3,5,4,4,4,5,5,4,4,4.25,4.5,
Male,4,4,3,5,4,3,4,5,4,4,4,4,4,
Female,9,5,5,3,3,4,4,5,5,4,4.333333333,4,4.5,
Female,37,5,5,5,5,4,5,4,3,4,5,4.5,3.5,
Male,4,4,4,4,4,4,4,4,4,4,4,4,4,
Male,27,4,4,4,4,4,4,4,4,4,4,4,4,
Female,40,3,5,5,5,3,3,5,4,4,4.333333333,4,4,
Male,33,3,3,3,3,3,3,3,3,3,3,3,3,
Male,7,5,5,5,5,5,5,4,4,5,5,4.75,4.5,
Male,26,4,4,4,4,4,4,4,4,4,4,4,4,
Male,15,4,4,4,3,5,4,4,4,3,4,4,3.5,
Female,25,4,4,4,4,4,4,4,4,4,4,4,4,
Male,26,4,4,4,4,3,4,4,4,4,4,3.75,4,
Male,30,5,5,4,5,4,5,4,5,5,4.666666667,4.5,5,
Female,10,4,4,4,4,3,3,3,3,4,4,3.25,3.5,
Male,26,5,3,5,5,3,5,5,5,5,4.333333333,4.5,5,
Male,7,5,5,5,5,5,5,5,4,4,5,5,4,
Male,33,3,4,4,4,4,3,3,4,5,3.666666667,3.5,4.5,
Male,10,2,2,2,4,3,2,1,2,2,2,2.5,2,
Female,8,4,4,4,4,3,3,3,3,3,4,3.25,3,
Female,36,4,4,4,4,4,4,4,4,4,4,4,4,
Female,25,5,5,4,5,5,5,4,5,5,4.666666667,4.75,5,
Female,3,5,5,5,5,5,5,5,5,5,5,5,5,
Female,26,4,4,4,4,4,4,4,4,4,4,4,4,
Male,5,4,4,4,4,4,4,4,4,4,4,4,4,
Female,26,5,4,5,4,4,4,5,5,4,4.666666667,4.25,4.5,
Male,27,3,3,2,3,3,5,4,4,5,2.666666667,3.75,4.5,
Female,5,4,4,5,5,4,4,5,4,4,4.333333333,4.5,4,
Male,1,5,5,5,5,5,5,5,5,4,5,5,4.5,
Male,7,5,5,5,5,5,5,5,4,5,5,5,4.5,
Female,11,4,5,5,5,4,3,5,4,4,4.666666667,4.25,4,
Female,15,4,3,3,3,3,3,3,3,3,3.333333333,3,3,
Female,40,4,3,4,3,3,4,4,4,5,3.666666667,3.5,4.5,
Female,11,5,4,5,5,5,5,5,5,5,4.666666667,5,5,
Female,11,3,4,4,3,2,3,4,3,3,3.666666667,3,3,
Male,38,3,4,2,2,4,4,5,4,4,3,3.75,4,
Male,36,3,4,3,2,5,3,2,5,4,3.333333333,3,4.5,
Female,20,5,5,5,5,5,5,5,5,5,5,5,5,
Female,10,3,3,3,3,3,3,3,3,3,3,3,3,
